Index,Kelas,Skenario,Deletion (↓),Insertion (↑),Robustness (↑),Sparsity (↑),Cost (Sec) (↓)
460,MildDemented,SCN-02: LIME (n=500),0.08720928421244026,0.0981195175263565,0.9280976497814591,0.063801775147929,4.405832529067993
460,MildDemented,SCN-02: LIME (n=2000),0.07288669180124997,0.06573832989670336,0.9234739650833557,0.052366863905325446,19.54225468635559
460,MildDemented,SCN-03: SHAP (e=100),0.08234025961719454,0.3166189280338585,0.7374316793716275,0.15576923076923077,0.7097189426422119
460,MildDemented,SCN-03: SHAP (e=500),0.09035423146560786,0.17645644976291802,0.9376503665707459,0.00378698224852071,2.9560844898223877
460,MildDemented,SCN-03: SHAP (e=2000),0.07120063458569348,0.19362510887440287,0.8735525930010066,0.005680473372781065,13.555952548980713
59,MildDemented,SCN-01: Grad-CAM,0.14164163544774055,0.10778026739135385,0.9519790410995483,0.8006952662721893,0.0478975772857666
59,MildDemented,SCN-02: LIME (n=100),0.05484610944986344,0.04561126702465117,0.8622334494894002,0.11572485207100591,1.5132019519805908
59,MildDemented,SCN-02: LIME (n=500),0.040750917629338794,0.04585730253602377,0.8661219468979443,0.05599112426035503,4.557354688644409
59,MildDemented,SCN-02: LIME (n=2000),0.125921686203219,0.04712420272408052,0.7489291097223093,0.19079881656804734,19.551115036010742
59,MildDemented,SCN-03: SHAP (e=100),0.21608876511454583,0.2868090700358153,0.781853999049977,0.21923076923076923,0.7330513000488281
59,MildDemented,SCN-03: SHAP (e=500),0.19659670029068366,0.3504624355584383,0.9364719866396598,0.023920118343195268,2.9424655437469482
59,MildDemented,SCN-03: SHAP (e=2000),0.25932949327398086,0.23879823028109967,0.956017181021293,0.004275147928994083,13.014678716659546
599,MildDemented,SCN-01: Grad-CAM,0.5657253270968795,0.7349657652899624,0.9028348326683044,0.7299852071005917,0.0336606502532959
599,MildDemented,SCN-02: LIME (n=100),0.653133231960237,0.3487733292393386,0.9383628727569108,0.057292899408284026,1.38157320022583
599,MildDemented,SCN-02: LIME (n=500),0.5869883402250707,0.3149159429594874,0.9045501926502025,0.12399408284023669,4.719171524047852
599,MildDemented,SCN-02: LIME (n=2000),0.5478509364649653,0.3339632807299495,0.9186752508501562,0.06022189349112426,18.550711393356323
599,MildDemented,SCN-03: SHAP (e=100),0.6999666331335901,0.5730143083259464,0.792813993740365,0.09423076923076923,1.387939691543579
599,MildDemented,SCN-03: SHAP (e=500),0.676443592272699,0.3614153435453773,0.8726881423312942,0.011597633136094675,4.855634689331055
599,MildDemented,SCN-03: SHAP (e=2000),0.6039110345765949,0.2910655744373798,0.8365104047112158,0.002011834319526627,13.221529245376587
1016,MildDemented,SCN-01: Grad-CAM,0.13641335067804902,0.7468178508803248,0.9467028975486755,0.8435946745562131,0.06970906257629395
1016,MildDemented,SCN-02: LIME (n=100),0.37127626538276676,0.4043350974097848,0.8616179021900663,0.09489644970414202,2.0379016399383545
1016,MildDemented,SCN-02: LIME (n=500),0.4474383341148497,0.4731584152206778,0.8905701722350146,0.04841715976331361,9.869242668151855
