Index,Kelas,Skenario,Deletion (↓),Insertion (↑),Robustness (↑),Sparsity (↑),Cost (Sec) (↓)
988,VeryMildDemented,SCN-03: SHAP (e=2000),0.06613237527880357,0.7669409528374671,0.9693254723234783,0.0390625,24.74446129798889
89,VeryMildDemented,SCN-01: Grad-CAM,0.07861555331892303,0.9497897878289222,0.8578708171844482,0.46739477040816324,0.027837038040161133
89,VeryMildDemented,SCN-02: LIME (n=100),0.15843900044320094,0.22024854357000545,0.8932357464625241,0.09337133290816327,1.5405032634735107
89,VeryMildDemented,SCN-02: LIME (n=500),0.06218841611822228,0.24558962944065565,0.8562736232958729,0.016621492346938774,7.4790050983428955
89,VeryMildDemented,SCN-02: LIME (n=2000),0.15972027079073017,0.2625218110553305,0.8448346925211043,0.04555963010204082,29.234835624694824
89,VeryMildDemented,SCN-03: SHAP (e=100),0.5582133370684459,0.4614735292736441,0.9125370874853486,0.125,1.2732985019683838
89,VeryMildDemented,SCN-03: SHAP (e=500),0.5470313908619574,0.5660427341237665,0.9407296423762092,0.125,6.3295207023620605
89,VeryMildDemented,SCN-03: SHAP (e=2000),0.4328879600157961,0.5624810478533617,0.8666068450651095,0.140625,24.71280527114868
84,VeryMildDemented,SCN-01: Grad-CAM,0.11622555270296289,0.5920266625937074,0.8862093687057495,0.514289700255102,0.02860569953918457
84,VeryMildDemented,SCN-02: LIME (n=100),0.060826694069767505,0.07109267932853644,0.911432504195014,0.06710379464285714,1.5414366722106934
84,VeryMildDemented,SCN-02: LIME (n=500),0.0485329065281246,0.04856695701955971,0.944059308695824,0.05422911352040816,7.510396480560303
84,VeryMildDemented,SCN-02: LIME (n=2000),0.04867544590436765,0.04858095413150822,0.8293290252648385,0.028958067602040817,29.146738290786743
84,VeryMildDemented,SCN-03: SHAP (e=100),0.09764574940950296,0.13210357226962516,0.9711563383561191,0.125,1.2561259269714355
84,VeryMildDemented,SCN-03: SHAP (e=500),0.05748834939322479,0.29665334521268955,0.9103388074067872,0.140625,6.3182995319366455
84,VeryMildDemented,SCN-03: SHAP (e=2000),0.04888721848945466,0.14646421577781438,0.8933132147838232,0.0234375,24.65146255493164
606,VeryMildDemented,SCN-01: Grad-CAM,0.5689029798377305,0.6897536795586346,0.969136118888855,0.6354033801020408,0.027783632278442383
606,VeryMildDemented,SCN-02: LIME (n=100),0.5940342644265911,0.6560612139721342,0.9038205260872993,0.08282844387755102,1.543344259262085
606,VeryMildDemented,SCN-02: LIME (n=500),0.9551844298839569,0.642690185084939,0.9033032876970363,0.09935028698979592,7.551583290100098
606,VeryMildDemented,SCN-02: LIME (n=2000),0.7446661122143269,0.9511420130729676,0.8829614818912382,0.11013233418367346,29.34338927268982
606,VeryMildDemented,SCN-03: SHAP (e=100),0.4480265549558681,0.8403424859046936,0.834339405426084,0.0625,1.2824108600616455
606,VeryMildDemented,SCN-03: SHAP (e=500),0.19018502230755985,0.7132469534873963,0.8694111342793952,0.03125,6.054967641830444
606,VeryMildDemented,SCN-03: SHAP (e=2000),0.3518926240503788,0.9488863825798034,0.9242220049504885,0.0703125,24.04422640800476
1125,VeryMildDemented,SCN-01: Grad-CAM,0.6228810668690131,0.9490017235279082,0.8883095979690552,0.6235451211734694,0.0269472599029541
1125,VeryMildDemented,SCN-02: LIME (n=100),0.7598709719488397,0.5886958895251154,0.8282661735706378,0.04844945790816327,1.5541822910308838
1125,VeryMildDemented,SCN-02: LIME (n=500),0.8527748860826251,0.2460679320360213,0.9170989643357532,0.062021683673469385,7.165388107299805
1125,VeryMildDemented,SCN-02: LIME (n=2000),0.9487284541130065,0.3830535269618849,0.9217435929202574,0.09972895408163265,29.143657684326172
1125,VeryMildDemented,SCN-03: SHAP (e=100),0.3513314193114639,0.9148051619529723,0.9203384680036877,0.5,1.2372095584869385
1125,VeryMildDemented,SCN-03: SHAP (e=500),0.256349609233439,0.9106122314929963,0.9120934391156212,0.03125,6.059163331985474
1125,VeryMildDemented,SCN-03: SHAP (e=2000),0.2990860273595899,0.9506272792816163,0.9110374851577238,0.015625,23.979045391082764
1006,VeryMildDemented,SCN-01: Grad-CAM,0.26581398424750663,0.957395626604557,0.9108221530914307,0.48477359693877553,0.027165651321411133
1006,VeryMildDemented,SCN-02: LIME (n=100),0.2622357691112057,0.1642323076145003,0.8900444796174741,0.05231584821428571,1.8426015377044678
1006,VeryMildDemented,SCN-02: LIME (n=500),0.16191198343204483,0.2152090055371544,0.7211139209535988,0.49790736607142855,7.30846643447876
1006,VeryMildDemented,SCN-02: LIME (n=2000),0.14837204291642142,0.16275428283971688,0.7239796343554217,0.5008370535714286,29.270089626312256
1006,VeryMildDemented,SCN-03: SHAP (e=100),0.6428787030279636,0.6764172825030983,0.921849467852042,0.375,1.2528250217437744
1006,VeryMildDemented,SCN-03: SHAP (e=500),0.40526659260503944,0.4604497980966698,0.8525103058753508,0.5625,6.243197441101074
1006,VeryMildDemented,SCN-03: SHAP (e=2000),0.3149143848568201,0.6886845411732793,0.9176302954767752,0.1328125,24.763041734695435
364,VeryMildDemented,SCN-01: Grad-CAM,0.04635980597674633,0.8016353887505829,0.9334245324134827,0.7501992984693877,0.027131319046020508
364,VeryMildDemented,SCN-02: LIME (n=100),0.03717854847007395,0.32219835790095414,0.8959132731025533,0.17396763392857142,1.8585271835327148
364,VeryMildDemented,SCN-02: LIME (n=500),0.037080780954789394,0.10044580017141563,0.9296406988845872,0.023636798469387755,7.356321334838867
