Index,Kelas,Skenario,Deletion (↓),Insertion (↑),Robustness (↑),Sparsity (↑),Cost (Sec) (↓)
139,ModerateDemented,SCN-03: SHAP (e=100),0.16167858151857223,0.08679385928735427,0.938934015162455,0.125,0.657496452331543
139,ModerateDemented,SCN-03: SHAP (e=500),0.16211065216552925,0.08120882408693432,0.9592677541930115,0.0078125,2.9525656700134277
139,ModerateDemented,SCN-03: SHAP (e=2000),0.16529302692724743,0.146074742777273,0.9178060073408554,0.0078125,12.635379076004028
209,ModerateDemented,SCN-01: Grad-CAM,0.22974758576601745,0.5914665470885665,0.8400580883026123,0.5732820471938775,0.017765283584594727
209,ModerateDemented,SCN-02: LIME (n=100),0.0837988002875136,0.06192529852665273,0.94226928804813,0.3417171556122449,0.9090859889984131
209,ModerateDemented,SCN-02: LIME (n=500),0.09311933913631948,0.15928720091836449,0.9579235697884866,0.5568199936224489,4.4963929653167725
209,ModerateDemented,SCN-02: LIME (n=2000),0.0866622026776895,0.063686296303488,0.9476262602344452,0.7634127869897959,16.528271198272705
209,ModerateDemented,SCN-03: SHAP (e=100),0.68801509141922,0.2820344112536986,0.957379861249533,0.0625,0.6997556686401367
209,ModerateDemented,SCN-03: SHAP (e=500),0.21421606140211227,0.28238986167125396,0.9789949897677155,0.0078125,3.063081741333008
209,ModerateDemented,SCN-03: SHAP (e=2000),0.11247199668723623,0.1235824736591894,0.9860816048321732,0.0078125,12.525407314300537
250,ModerateDemented,SCN-01: Grad-CAM,0.1703758668969385,0.4481258461397374,0.9146480560302734,0.7569355867346939,0.022432804107666016
250,ModerateDemented,SCN-02: LIME (n=100),0.0625113809506729,0.06504856520023167,0.8614413695643574,0.1874202806122449,1.233577013015747
250,ModerateDemented,SCN-02: LIME (n=500),0.06199013738505527,0.06194619381276424,0.9216465843110823,0.05279416454081633,3.9777181148529053
250,ModerateDemented,SCN-02: LIME (n=2000),0.06384316214735009,0.06200982839945936,0.8899310521225695,0.04653619260204082,16.7995126247406
250,ModerateDemented,SCN-03: SHAP (e=100),0.0782776670284875,0.09615234967786818,0.9127154773979963,0.125,0.7628846168518066
250,ModerateDemented,SCN-03: SHAP (e=500),0.15022305147140289,0.07439182778507528,0.9694387524814858,0.0078125,2.9350035190582275
250,ModerateDemented,SCN-03: SHAP (e=2000),0.14272445184760726,0.06374769233807455,0.9773754489914647,0.0078125,12.563053607940674
